token_ticker,sentiment_score,mCap
0x440x46,-0.4,14509
100000000,-0.4117647058823529,4379
144P,-0.30434782608695654,7647
144PEPE,-0.3333333333333333,5074
16,-0.6,6108
1992TC,-0.27230046948356806,4843
1M,-0.40350877192982454,6037
1SHOT,0.045454545454545456,4409
1SOL,-0.39855072463768115,56986
1TB,-0.8333333333333334,4072
1stBlink,-0.6363636363636364,13848
2,-0.3333333333333333,4416
2,-0.3333333333333333,4386
2DADDY,-0.5,4655
3DBITE,-0.39896373056994816,4489
405b,-1.0,4788
444,0.28,14814
46,-0.1111111111111111,4412
4K,-0.12,5214
50PEPE,-0.16981132075471697,5225
5G,-0.5825426944971537,31079
600mil,-0.30097087378640774,5302
6ix9ine,-0.5555555555555556,4332
711cat,-0.4,7082
741,-0.35135135135135137,6006
8BALL,-1.0,4792
8FS,-0.4666666666666667,4358
9,-0.4457831325301205,4612
956006487,-1.0,4282
9to5,-0.42857142857142855,5291
AANG,-0.6964285714285714,5176
AB,-0.6666666666666666,6635
ABTWT,-0.5,4834
ABUH,-0.4852941176470588,4226
ACAT,-0.3023255813953488,4336
ACE,0.5384615384615384,7133
ACHI,-0.3333333333333333,7040
ACO,-0.3901345291479821,11788
ACT,-0.42857142857142855,44802
ADA,-0.38235294117647056,4312
ADIOS,-0.16666666666666666,8595
ADOG,-1.0,4948
AFC,-0.37003058103975534,5833
AGENCY,-1.0,4055
AGENT,-0.6666666666666666,5051
AGI,-1.0,4594
AI,-0.25835866261398177,4186
AI,-0.25835866261398177,4260
AI,-0.25835866261398177,4335
AI,-0.25835866261398177,5471
AI,-0.25835866261398177,4834
AI,-0.25835866261398177,4659
AI GF,1.0,4560
AI MOTHER,-0.4,7691
AICAT,-1.0,6536
AICATS,-0.5789473684210527,12801
AICYCLE,-0.08333333333333333,5865
AIDAM,-1.0,4417
AIDEV,-1.0,4389
AIDS,0.2,6076
AIGF,0.2,6263
AIKO,-0.2786885245901639,5218
AILADY,-0.3057471264367816,5014
AIMOG,-0.14285714285714285,4221
AIMOODENG,-1.0,5216
AISCII,0.6,135195
AITANA,-0.25146198830409355,5746
AInus,0.3333333333333333,4710
AIpepe,-0.3225806451612903,4621
ALAN,-0.3898305084745763,4337
ALAN,-0.3898305084745763,4934
ALEN,0.0,4243
ALET,-0.5,4862
ALEX,-0.24324324324324326,5731
ALI,-0.125,4715
ALI,-0.125,7213
ALPHA,-0.6949152542372882,4073
